TIMESTAMP,REPORT_NAME,EXECUTION_TIME_IN_SECONDS,STATUS
2024-11-09 08:24:01,duk008,690,SUCCESS
2024-11-10 08:14:22,duk008_xls,860,SUCCESS
2024-11-10 08:21:11,duk008,406,FAIL
2024-11-10 08:29:10,duk008,417,FAIL
2024-11-10 08:36:57,duk008,405,FAIL
2024-11-10 08:44:45,duk008,405,FAIL
2024-11-10 08:57:27,duk008,701,SUCCESS
2024-11-11 08:12:27,duk008_xls,746,SUCCESS
2024-11-11 08:24:00,duk008,690,SUCCESS
2024-11-12 08:12:53,duk008_xls,771,SUCCESS
2024-11-12 08:24:37,duk008,701,SUCCESS
2024-11-13 08:12:16,duk008_xls,735,SUCCESS
2024-11-13 08:23:48,duk008,689,SUCCESS
2024-11-14 08:13:08,duk008_xls,786,SUCCESS
2024-11-14 08:24:52,duk008,701,SUCCESS
2024-11-15 08:12:29,duk008_xls,747,SUCCESS
2024-11-15 08:24:03,duk008,692,SUCCESS
2024-11-16 08:14:12,duk008_xls,850,SUCCESS
2024-11-16 08:25:45,duk008,690,SUCCESS
2024-11-17 08:12:18,duk008_xls,737,SUCCESS
2024-11-17 08:19:07,duk008,407,FAIL
2024-11-17 08:26:55,duk008,406,FAIL
2024-11-17 08:34:55,duk008,417,FAIL
2024-11-17 08:42:42,duk008,406,FAIL
2024-11-17 08:55:14,duk008,690,SUCCESS
2024-11-18 08:12:30,duk008_xls,749,SUCCESS
2024-11-18 08:25:23,duk008,770,SUCCESS
2024-11-19 08:12:17,duk008_xls,735,SUCCESS
2024-11-19 08:24:00,duk008,701,SUCCESS
2024-11-20 08:12:32,duk008_xls,750,SUCCESS
2024-11-20 08:24:06,duk008,691,SUCCESS
2024-11-21 08:03:56,duk008_xls,235,FAIL
2024-11-21 08:08:52,duk008_xls,235,FAIL
2024-11-21 08:13:48,duk008_xls,234,FAIL
2024-11-21 08:18:43,duk008_xls,234,FAIL
2024-11-21 08:23:39,duk008_xls,234,FAIL
2024-11-21 08:28:35,duk008_xls,235,FAIL
2024-11-21 08:33:31,duk008_xls,235,FAIL
2024-11-21 08:38:27,duk008_xls,235,FAIL
2024-11-21 08:43:23,duk008_xls,234,FAIL
2024-11-21 08:48:18,duk008_xls,234,FAIL
2024-11-21 08:53:14,duk008_xls,234,FAIL
2024-11-21 08:58:10,duk008,234,FAIL
2024-11-21 09:03:06,duk008,235,FAIL
2024-11-21 09:08:02,duk008,235,FAIL
2024-11-21 09:12:58,duk008,235,FAIL
2024-11-21 09:17:54,duk008,235,FAIL
2024-11-21 09:22:49,duk008,234,FAIL
2024-11-21 09:27:45,duk008,235,FAIL
2024-11-21 09:32:41,duk008,235,FAIL
2024-11-21 09:37:37,duk008,235,FAIL
2024-11-21 09:42:33,duk008,235,FAIL
2024-11-21 09:47:29,duk008,234,FAIL
2024-11-21 10:52:29,duk008_xls,747,SUCCESS
2024-11-21 10:55:40,duk008,189,FAIL
2024-11-21 11:08:12,duk008,691,SUCCESS
2024-11-22 08:13:10,duk008_xls,789,SUCCESS
2024-11-22 08:24:57,duk008,704,SUCCESS
2024-11-23 08:12:17,duk008_xls,735,SUCCESS
2024-11-23 08:23:51,duk008,691,SUCCESS
